ID,Ejercicio,Ramo,Siniestro,Fecha de ocurrencia,Fecha de derivacion,Suma asegurada,Ajuste,Accesorios,Tope de suma asegurada,Agencia,Marca de la unidad,Modelo de la unidad,Modelo / Año,Indemnizacion,MT indem - MT aseg,Fecha de pago
3848,99,4,77491,9/11/2021,9/14/2021 12:00:00 a. m.,932800,20,50000,1179360,BUENOS AIRES,VOLKSWAGEN,VW VOYAGE 1.6 L/13 COMFORTLINE P AB I,2015,"1.169.360,00",236560,10/29/2021 12:00:00 a. m.
3849,99,4,77565,9/11/2021,9/22/2021 12:00:00 a. m.,306900,20,0,368280,QUILMES,VOLKSWAGEN,VW GOL GL 1.0 MI 3 PTAS. PLUS,1999,"340.000,00",33100,10/12/2021 12:00:00 a. m.
3850,99,4,77665,9/10/2021,9/14/2021 12:00:00 a. m.,2606000,10,0,2866600,BUENOS AIRES,VOLKSWAGEN,VW GOLF VII 1.4 TSI HIGHLINE DSG,2016,"2.866.600,00",260600,10/26/2021 12:00:00 a. m.
3851,99,4,77696,9/13/2021,9/15/2021 12:00:00 a. m.,2750000,20,0,3300000,AVELLANEDA,VOLKSWAGEN,VW AMAROK 2.0 TDI 4X2 HIGHLINE,2013,"2.750.000,00",0,9/30/2021 12:00:00 a. m.
3852,99,4,77708,9/10/2021,9/13/2021 12:00:00 a. m.,1500000,20,0,1800000,ROSARIO,PEUGEOT,PEUGEOT PARTNER PATA. 1.6 HDI VTC L/10,2014,"1.600.000,00",100000,10/26/2021 12:00:00 a. m.
3853,99,4,77715,9/10/2021,9/16/2021 12:00:00 a. m.,2585000,20,0,3102000,MORON,FIAT,FIAT 500 1.4 ABARTH,2013,"2.670.000,00",85000,10/7/2021 12:00:00 a. m.
3854,99,4,77720,9/11/2021,9/17/2021 12:00:00 a. m.,682000,30,20000,912600,MORON,FORD,FORD FIESTA 1.6 4 PTAS. MAX AMBIEN. PLUS,2010,"740.000,00",58000,9/28/2021 12:00:00 a. m.
3855,99,4,77725,9/11/2021,10/6/2021 12:00:00 a. m.,6000000,20,2100000,9720000,MORON,MERCEDES BENZ,M.BENZ ATRON 1720-48,2013,"9.000.000,00",3000000,11/17/2021 12:00:00 a. m.
3856,99,4,77778,9/11/2021,9/14/2021 12:00:00 a. m.,800000,20,0,960000,QUILMES,PEUGEOT,PEUGEOT 307 XS 2.0 5 PTAS. HDI DYNAMIQUE,2002,"780.000,00",-20000,10/21/2021 12:00:00 a. m.
3857,99,4,78085,9/10/2021,9/14/2021 12:00:00 a. m.,1006500,20,0,1207800,MARTINEZ,CHEVROLET,CHEVROLET BLAZER DLX 2.2,1996,"950.000,00",-56500,10/18/2021 12:00:00 a. m.
3858,99,4,78221,9/12/2021,9/14/2021 12:00:00 a. m.,780000,20,0,936000,AVELLANEDA,FIAT,FIAT PALIO 1.4 5 P. FIRE L/14 SEGURIDAD,2015,"900.000,00",120000,12/20/2021 12:00:00 a. m.
3859,99,4,78299,9/11/2021,9/14/2021 12:00:00 a. m.,2790000,10,37000,3109700,ROSARIO,VOLKSWAGEN,VW AMAROK 2.0 TD 4X2 DC TREND. 180 HP,2017,"3.109.700,00",319700,10/22/2021 12:00:00 a. m.
3860,99,4,78761,9/11/2021,9/14/2021 12:00:00 a. m.,1908500,20,0,2290200,MARTINEZ,PEUGEOT,PEUGEOT 308 1.6 HDI FELINE,2017,"2.290.200,00",381700,10/13/2021 12:00:00 a. m.
3861,99,4,79008,9/12/2021,9/16/2021 12:00:00 a. m.,597300,20,0,716760,CASA MATRIZ,RENAULT,RENAULT MEGANE F/2 4P 1.9 TD PACK PLUS,2008,"597.300,00",0,10/5/2021 12:00:00 a. m.
3862,99,4,79204,9/8/2021,9/16/2021 12:00:00 a. m.,451000,20,0,541200,EXT.CASA MATRIZ,CHEVROLET,CHEVROLET CORSA 1.6 3 P. CITY,2008,"541.200,00",90200,10/27/2021 12:00:00 a. m.
3863,99,4,79235,9/13/2021,9/15/2021 12:00:00 a. m.,1536000,20,0,1843200,AVELLANEDA,RENAULT,RENAULT SANDERO STEPWAY II 1.6 PRIVILEGE,2019,"1.843.200,00",307200,9/29/2021 12:00:00 a. m.
3864,99,4,79531,9/13/2021,9/30/2021 12:00:00 a. m.,500000,20,0,600000,QUILMES,PEUGEOT,PEUGEOT 504 PICK UP GRD,1995,"570.000,00",70000,11/10/2021 12:00:00 a. m.
3865,99,4,79580,9/12/2021,10/7/2021 12:00:00 a. m.,1507000,20,0,1808400,MARTINEZ,NISSAN,NISSAN PICK UP FRONTIER 2.8 C/D 4X4 SE,2008,"1.808.400,00",301400,11/15/2021 12:00:00 a. m.
